Date,Type Ia,Type Ib,Type II,Type Apple,Type Bump,Type Rain,Type Featureless,Nonevent,Undefined
25-Dec-2004,0,0,0,0,0,0,0,0,0
26-Dec-2004,0,0,0,0,0,0,0,0,0
27-Dec-2004,0,0,0,0,0,0,0,0,0
28-Dec-2004,0,0,0,0,0,0,0,0,0
29-Dec-2004,0,0,0,0,0,0,0,0,0
30-Dec-2004,0,0,0,0,0,0,0,0,0
31-Dec-2004,0,0,0,0,0,0,0,0,0
01-Jan-2005,0,0,0,0,0,0,0,0,1
02-Jan-2005,0,0,0,0,0,0,0,1,0
03-Jan-2005,0,0,0,0,0,0,0,0,1
04-Jan-2005,0,0,0,0,0,0,0,0,1
05-Jan-2005,0,0,0,0,0,0,0,1,0
06-Jan-2005,0,0,0,0,0,0,0,0,1
07-Jan-2005,0,0,0,0,0,0,0,1,0
08-Jan-2005,0,0,0,0,0,0,0,0,1
09-Jan-2005,0,0,0,0,0,0,0,1,0
10-Jan-2005,0,0,0,0,0,0,0,1,0
11-Jan-2005,0,0,0,0,0,0,0,0,1
12-Jan-2005,0,0,0,0,0,0,0,0,1
13-Jan-2005,0,0,0,0,0,0,0,1,0
14-Jan-2005,0,0,0,0,0,0,0,1,0
15-Jan-2005,0,0,0,0,0,0,0,0,1
16-Jan-2005,0,0,0,0,0,0,0,1,0
17-Jan-2005,0,0,0,0,0,0,0,1,0
18-Jan-2005,0,0,0,0,0,0,0,1,0
19-Jan-2005,0,0,0,0,0,0,0,1,0
20-Jan-2005,0,0,0,0,0,0,0,0,1
21-Jan-2005,0,0,0,0,0,0,0,1,0
22-Jan-2005,0,0,0,0,0,0,0,1,0
23-Jan-2005,0,0,0,0,0,0,0,1,0
24-Jan-2005,0,0,0,0,0,0,0,1,0
25-Jan-2005,0,0,0,0,0,0,0,1,0
26-Jan-2005,0,0,0,0,0,0,0,1,0
27-Jan-2005,0,0,0,0,0,0,0,1,0
28-Jan-2005,0,0,0,0,0,0,0,1,0
29-Jan-2005,0,0,0,0,0,0,0,1,0
30-Jan-2005,0,0,0,0,0,0,0,1,0
31-Jan-2005,0,0,0,0,0,0,0,0,1
01-Feb-2005,0,0,0,0,0,0,0,0,1
02-Feb-2005,0,0,0,0,0,0,0,0,1
03-Feb-2005,0,0,0,0,0,0,0,1,0
04-Feb-2005,0,0,0,0,0,0,0,1,0
05-Feb-2005,0,0,0,0,0,0,0,1,0
06-Feb-2005,0,0,0,0,0,0,0,0,1
07-Feb-2005,0,0,0,0,0,0,0,0,1
08-Feb-2005,0,0,0,0,0,0,0,1,0
09-Feb-2005,0,0,0,0,0,0,0,1,0
10-Feb-2005,0,0,0,0,0,0,0,1,0
11-Feb-2005,0,0,0,0,0,0,0,0,1
12-Feb-2005,0,0,0,0,0,0,0,1,0
13-Feb-2005,0,0,0,0,0,0,0,1,0
14-Feb-2005,0,0,0,0,0,0,0,1,0
15-Feb-2005,0,0,0,0,0,0,0,0,1
16-Feb-2005,0,0,0,0,0,0,0,0,1
17-Feb-2005,0,0,0,0,0,0,0,1,0
18-Feb-2005,0,0,0,0,0,0,0,1,0
19-Feb-2005,0,0,0,0,0,0,0,1,0
20-Feb-2005,0,0,0,0,0,0,0,1,0
21-Feb-2005,0,0,0,0,0,0,0,1,0
22-Feb-2005,0,0,0,0,0,0,0,0,1
23-Feb-2005,0,0,0,0,0,0,0,0,1
24-Feb-2005,0,0,0,0,0,0,0,0,1
